A,B,C,D,E,Rate,Stat_Code,Unit
Section,Chapter,Description,Sub-heading,HS_Code,Duty_Rate,Statistical_Code,Measurement_Unit
I,01,"LIVE ANIMALS",01.01,0101.00,5.0,010100,KG
I,01,"Live horses asses mules and hinnies",01.01,0101.21,5.0,010121,KG
I,01,"Live bovine animals",01.02,0102.00,5.0,010200,KG
I,01,"Live swine",01.03,0103.00,5.0,010300,KG
I,01,"Live sheep and goats",01.04,0104.00,5.0,010400,KG
I,01,"Live poultry",01.05,0105.00,5.0,010500,KG
I,02,"MEAT AND EDIBLE MEAT OFFAL",02.01,0201.00,10.0,020100,KG
I,02,"Meat of bovine animals fresh or chilled",02.01,0201.10,10.0,020110,KG
I,02,"Meat of bovine animals frozen",02.02,0202.00,10.0,020200,KG
I,02,"Meat of swine fresh chilled or frozen",02.03,0203.00,10.0,020300,KG
I,02,"Meat of sheep or goats fresh chilled or frozen",02.04,0204.00,10.0,020400,KG
I,02,"Meat of horses asses mules or hinnies fresh chilled or frozen",02.05,0205.00,10.0,020500,KG
I,03,"FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",03.01,0301.00,10.0,030100,KG
I,03,"Live fish",03.01,0301.11,10.0,030111,KG
I,03,"Fish fresh or chilled",03.02,0302.00,10.0,030200,KG
I,03,"Fish frozen",03.03,0303.00,10.0,030300,KG
I,03,"Fish fillets and other fish meat",03.04,0304.00,10.0,030400,KG
I,03,"Crustaceans",03.06,0306.00,10.0,030600,KG
I,03,"Molluscs",03.07,0307.00,10.0,030700,KG
II,04,"DAIRY PRODUCE BIRDS EGGS NATURAL HONEY",04.01,0401.00,10.0,040100,KG
II,04,"Milk and cream not concentrated nor containing added sugar",04.01,0401.10,10.0,040110,KG
II,04,"Milk and cream concentrated or containing added sugar",04.02,0402.00,10.0,040200,KG
II,04,"Buttermilk curdled milk and cream yogurt kephir and other fermented milk",04.03,0403.00,10.0,040300,KG
II,04,"Butter and other fats and oils derived from milk dairy spreads",04.05,0405.00,10.0,040500,KG
II,04,"Cheese and curd",04.06,0406.00,10.0,040600,KG
II,04,"Birds eggs in shell fresh preserved or cooked",04.07,0407.00,10.0,040700,KG
II,04,"Natural honey",04.09,0409.00,5.0,040900,KG
II,05,"PRODUCTS OF ANIMAL ORIGIN",05.01,0501.00,5.0,050100,KG
II,05,"Human hair unworked",05.01,0501.00,5.0,050100,KG
II,06,"LIVE TREES AND OTHER PLANTS BULBS",06.01,0601.00,5.0,060100,KG
II,07,"EDIBLE VEGETABLES",07.01,0701.00,10.0,070100,KG
II,07,"Potatoes fresh or chilled",07.01,0701.90,10.0,070190,KG
II,07,"Tomatoes fresh or chilled",07.02,0702.00,10.0,070200,KG
II,07,"Onions shallots garlic leeks and other alliaceous vegetables",07.03,0703.00,10.0,070300,KG
II,07,"Cabbages cauliflowers kohlrabi kale and similar edible brassicas",07.04,0704.00,10.0,070400,KG
II,08,"EDIBLE FRUIT AND NUTS",08.01,0801.00,10.0,080100,KG
II,08,"Coconuts Brazil nuts and cashew nuts",08.01,0801.11,10.0,080111,KG
II,08,"Other nuts fresh or dried",08.02,0802.00,10.0,080200,KG
II,08,"Bananas including plantains",08.03,0803.00,10.0,080300,KG
II,08,"Dates figs pineapples avocados guavas mangoes and mangosteens",08.04,0804.00,10.0,080400,KG
II,08,"Citrus fruit fresh or dried",08.05,0805.00,10.0,080500,KG
III,09,"COFFEE TEA MATE AND SPICES",09.01,0901.00,10.0,090100,KG
III,09,"Coffee roasted or not roasted",09.01,0901.11,10.0,090111,KG
III,09,"Tea whether or not flavoured",09.02,0902.00,10.0,090200,KG
III,09,"Pepper of the genus Piper",09.04,0904.00,10.0,090400,KG
III,09,"Vanilla",09.05,0905.00,10.0,090500,KG
III,09,"Cinnamon and cinnamon-tree flowers",09.06,0906.00,10.0,090600,KG
III,09,"Cloves whole fruit cloves and stems",09.07,0907.00,10.0,090700,KG
III,09,"Nutmeg mace and cardamoms",09.08,0908.00,10.0,090800,KG
III,09,"Seeds of anise badian fennel coriander cumin or caraway",09.09,0909.00,10.0,090900,KG
III,10,"CEREALS",10.01,1001.00,5.0,100100,KG
III,10,"Wheat and meslin",10.01,1001.11,5.0,100111,KG
III,10,"Rye",10.02,1002.00,5.0,100200,KG
III,10,"Barley",10.03,1003.00,5.0,100300,KG
III,10,"Oats",10.04,1004.00,5.0,100400,KG
III,10,"Maize (corn)",10.05,1005.00,5.0,100500,KG
III,10,"Rice",10.06,1006.00,5.0,100600,KG
XVI,84,"MACHINERY AND MECHANICAL APPLIANCES",84.19,8419.00,10.0,841900,KG
XVI,84,"Machinery plant or laboratory equipment for heat treatment of materials",84.19,8419.50,10.0,841950,KG
XVI,84,"Heat exchange units",84.19,8419.50,10.0,841950,KG
XVI,85,"ELECTRICAL MACHINERY AND EQUIPMENT",85.01,8501.00,10.0,850100,KG
XVI,85,"Electric motors and generators",85.01,8501.10,10.0,850110,KG
XVI,85,"Transformers electrical",85.04,8504.00,10.0,850400,KG
XVI,85,"Electrical transformers static converters",85.04,8504.40,10.0,850440,KG
XVI,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY",87.01,8701.00,10.0,870100,KG
XVI,87,"Tractors",87.01,8701.20,10.0,870120,KG
XVI,87,"Motor cars and other motor vehicles",87.03,8703.00,20.0,870300,KG
XVI,87,"Motor vehicles for the transport of goods",87.04,8704.00,10.0,870400,KG
XVII,90,"OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING",90.01,9001.00,5.0,900100,KG
